origin,pointers,origin_length,game_order,text_original,text_trans_dialogwidth,text_trans_bookwidth,text_trans_printwidth,notes_alts,,,,,,,,,,,,,,,,,,,,,,
0x0E019F10,0x0E01A81C,22,1523,{momo}一号を砂場に置きっ{nl},And I told Mama I lost it!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019F28,0x0E01A820,28,1524,ぱなしでお家に帰っちゃった{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019F44,0x0E01A824,12,1525,んだ……！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019F50,0x0E01A828,28,1526,小さなコにはありがちなこと{nl},"A misdeed all too common
among little children. What
a shame.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019F6C,0x0E01A82C,28,1527,であるな。イカン、イカン。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019F88,0x0E01A9E4,22,1528,{momo}一号でお空を飛ぶん{nl},"{momomo}-01 can really fly?
If only I took better care
of her...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019FA0,0x0E01A9E8,12,1529,だって……{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019FAC,0x0E01A9EC,24,1530,大切にしてたのに………{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019FC4,0x0E01A9F0,16,1531,ムク、{momo}一号は{nl},"Barry, do you know where
{momomo}-01 is?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019FD4,0x0E01A9F4,16,1532,どこにいるの？{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E019FE4,0x0E01AA0C,26,1533,ここは思い出の国だから、{nl},"This is the Land of Memories
so it should still be in the
""sand box"" you remember...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A000,0x0E01AA10,16,1534,{momo}一号は{momo}ちゃ{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A010,0x0E01AA14,20,1535,んの思い出の場所、{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A024,0x0E01AA18,29,1536,”砂場”にいるモン。lでも、{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A044,0x0E01AA1C,28,1537,砂場はポテトボンボンのなわ{nl},"But... that's part of the
Potato Bombombs' turf now.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A060,0x0E01AA20,26,1538,ばりにされちゃったから、{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A07C,0x0E01AA24,22,1539,もう畑にされてるかも{nl},"I'm not sure, they may
have already turned it into
a potato field...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A094,0x0E01AA28,16,1540,知れないモン。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A0A4,0x0E01AA2C,16,1541,その砂場って、{nl},Which way to that sandbox??{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A0B4,0x0E01AA30,18,1542,どっちにあるの？{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A0C8,0x0E01ABF0,22,1543,あっちよ、{momo}ちゃん！{np},"This way, {momomo}!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A0E0,0x0E01AC00,22,1544,砂場はキライである。{nl},"Hunf! I abhor a sandbox! The
fine silt wreaks havoc on my
clockwork, for starters...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A0F8,0x0E01AC04,28,1545,細かい砂は体に悪いのである{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A114,0x0E01AC08,12,1546,からして…{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A120,0x0E01AC14,24,1547,ブチブチうるさいわよ、{nl},"Will someone hit snooze on
this annoying ding-dong?!{np}",,,"Will you shut your ding-dong
hole with all the whining!?{np}","Will someone hit snooze on
this annoying ding-dong?!{np}",,,,,,,,,,,,,,,,,,,,,
0x0E01A138,0x0E01AC18,12,1548,オジサン！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01A144,0x0E01AC2C,22,1549,さぁ、みんな、いくよ{np},"Let's go, everyone!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,CHAPTER 4,,,,,,,,,,,,,,,,,,,,,,
0x0E01D1F0,0x0E01D648,20,1550,{momo}一号！ごめんね、{nl},"{momomo}-01! I'm sorry
for just abandoning you
in a place like this...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D204,0x0E01D650,22,1551,あたしが置きわすれた{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D21C,0x0E01D654,28,1552,ばっかりに、そんな所に……{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D238,0x0E01D65C,26,1556,今、助けてあげるからね！{np},"I'm here now, though...
let me help you!{np}",,,But I'm here to help now!{np},,,,,,,,,,,,,,,,,,,,,,
0x0E01D254,0x0E01D868,12,1557,{momo}ちゃん、{nl},"{momomo}, stay back!! QWAK!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D260,0x0E01D870,28,1558,こっちにきちゃダメだガア！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D27C,0x0E01D878,28,1559,ここは、ポテト・ボンボンの{nl},"This field is Potato Bombomb
territory... they've turned
it into a minefield!{np}",,,"It's the Potato Bombombs'
domain...{np}",,,,,,,,,,,,,,,,,,,,,,
0x0E01D298,0x0E01D87C,18,1560,なわばりなんだ。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D2AC,0x0E01D880,26,1561,イモ畑に入ると、イモバク{nl},"One step on the detontater
and- BOOM!{np}",,,"If you set foot in their
potato field, you could trip
the detontater and KERBOOM!{np}",,,,,,,,,,,,,,,,,,,,,,
0x0E01D2C8,0x0E01D884,26,1562,ダンにやられちゃうグア！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D2E4,0x0E01D8C8,28,1563,や〜いや〜い、いくじなし〜{np},"HEY YOU! Yeah, you,
ya lame duck! Bahahaha!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D300,0x0E01D8CC,24,1564,時間がどんどんたってく{nl},"Enjoying a long rust
while time passes by?
Nyahaha!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D318,0x0E01D8D0,10,1565,ボ〜ン。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D324,0x0E01D8D4,22,1566,へへェ〜ん、ザマァ〜{nl},"BAHAHA! Yeah, serves you
right, you dumb pig's butt!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D33C,0x0E01D8D8,22,1567,ボンボンぶたのシリ〜{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D354,0x0E01D8E0,22,1568,お帰りは、あちらァ〜{nl},"Ooo, lookie, we got new
visitors! Come on in, make
yourselves at home!!! HAH!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D36C,0x0E01D8E4,20,1569,のほほのほ〜〜〜！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D380,0x0E01DAC4,15,1570,そうである、{np}{nl},"We simply do not have time
to waste on dealing with
these dolts!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D390,0x0E01DACC,28,1571,時間がなかったのであるぞ。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D3AC,0x0E01DAD8,24,1572,こんなバカどもを相手に{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D3C4,0x0E01DADC,28,1573,しとる時間がもったいない。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D3E0,0x0E01DAE0,26,1574,どれ、このクロックさんが{nl},"Now, stand back! Time for
this Clock to save the day!{np}",,,"Now, stand back and watch
this Clock take out the
trash!{np}",,,,,,,,,,,,,,,,,,,,,,
0x0E01D3FC,0x0E01DAE4,16,1575,助け出すのだ！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D40C,0x0E01DCA8,28,1576,あッ、クロックさん待って！{np},"N- no, wait, Mr. Clock!!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01D428,0x0E01DD08,18,1577,クロックさ〜ん！{np},Mr. Cloooooooock!!!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DD0C,0x0E01E0EC,20,1578,のほほほほ〜〜〜！{nl},BAAAHAHAHAHAAAA!{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DD20,0x0E01E0F4,20,1579,ザマァ〜ボンボン！{np},That's what you get!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DD34,0x0E01E108,28,1580,マヌケはバクダンに引っかか{nl},"Another sucker falls for
the Potato Bombomb!
Haaaa-ha!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DD50,0x0E01E10C,28,1581,る〜ボン、のほほのほ〜〜〜{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DD6C,0x0E01E2C0,28,1582,さあ、次にチャレンジするの{nl},"So which one of you piggies
wants to be next?{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DD88,0x0E01E2C4,18,1583,はダレかボ〜ン？{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DD9C,0x0E01E2C8,12,1584,{momo}ちゃ〜ん{np},{momomo}??{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DDA8,0x0E01E2EC,28,1585,どうしたらいいんだろう……{np},What do I do...?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DDC4,0x0E01E318,14,1586,……なに、{baku}{np},Hm? {doggie}?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DDD4,0x0E01E508,4,1587,{baku}{nl},"What are you trying to say,
{doggie}?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DDD8,0x0E01E50C,18,1588,何が言いたいの？{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DDEC,0x0E01E538,22,1589,もしかして、{baku}の鼻で{nl},"Oh! Maybe {doggie} is
saying he can sniff out
the Bombombs?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DE04,0x0E01E53C,28,1590,バクダンを見つけられるって{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DE20,0x0E01E540,22,1591,言ってるんじゃない？{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DE38,0x0E01E548,14,1592,そうだモン。{nl},"Yes, yes!{np}",,,"Yes! Yes! That's just what
{doggie} is saying!{np}",,,,,,,,,,,,,,,,,,,,,,
0x0E01DE48,0x0E01E54C,14,1593,きっと、{baku}は{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DE58,0x0E01E550,24,1594,そう言ってるんだモン！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DE70,0x0E01E640,13,1595,{baku}お願い。{np}{nl},"Please, {doggie}!{np}{nl}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DE80,0x0E01E644,22,1596,あたしたちを、{momo}一号{nl},Lead us to {momomo}-01!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01DE98,0x0E01E648,22,1597,の所に連れて行って！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E023084,0x0E023394,16,1598,や〜いや〜い、{nl},Nyaaa nyaaa! You poop!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E023094,0x0E02339C,20,1599,おにょにょのぷぅ〜{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0230A8,0x0E0233A8,18,1600,ぷっぷくぷぅ〜、{nl},"Hahaha! Poop poop
poopoo-poopy poo!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0230BC,0x0E0233AC,16,1601,ボンボボ〜ン！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0230CC,0x0E0233B0,18,1602,オレたちゃ最強！{nl},Potato Bombombs number one!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0230E0,0x0E0233B4,20,1604,おとといきやがれ、{nl},"And don't come back,
ya hear!?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0230F4,0x0E0233B8,24,1606,もっかいやるかボ〜ン？{np},"Wanna get kablowed
up again!?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E02310C,0x0E0233BC,28,1607,オレたちゃ、何度でも相手、{nl},It's never not funny!!{np},,,We'll go up against you any time!,,,,,,,,,,,,,,,,,,,,,,
0x0E023128,0x0E0233C0,18,1608,してやるボ〜ン！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E02313C,0x0E0234AC,16,1610,{baku}、おねがい！{nl},"Please, {doggie}!
Just one more try!{np}{clr}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E02314C,0x0E0234B0,23,1611,もう１回がんばって！{np}{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E023164,0x0E0234B4,18,1612,{momo}一号を助けて！{np},"We have to save
{momomo}-01!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Potato Bombomb minigame,,,,,,,,,,,,,,,,,,,,,,
0x0E04F3DC,0x0E04F650,49,,{baku}はニオイでバクダン{nl}を見つけることができるの。{np},"{doggie} has the ability
to sniff out
Potato Bombombs.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F410,0x0E04F654,74,,{momo}ちゃんは{baku}が{nl}バクダンを踏まないように、{np}{clr}{baku}を{momo}一号の所{nl}まで動かして。{np},"Navigate {doggie} to
{momomo}-01 without stepping
on any Potato Bombombs.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F45C,0x0E04F658,26,,{baku}を動かすのは十字キー。{np},Move {doggie} with {dpad_all}.{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F478,0x0E04F65C,52,,バクダンがあると{nl}{baku}は勝手に{nl}バクダンを見つけるわ。{np},"If you come across a
Bombomb, {doggie} will
sniff it out automatically.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F4AC,0x0E04F698,60,,バクダンをふんじゃうと{nl}バクハツしちゃうから{nl}気を付けてね。{np},"If you do move onto a
Bombomb, you'll trigger the
detontater, so be careful!{np}{clr}{doggie} can walk over
mounds and holes, so don't
let them stop you!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F6A4,0x0E04FA18,19,,あっ、モグラだ！{np}{nl},Ah! A mole!!{np}{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F6B8,0x0E04FA24,22,,かっわいーーーっ！！{np},Cuuuuute!{np},,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F6D0,0x0E04FA2C,60,,ひーーーーーっ！！{nl}モグラはキライ！{nl}キライだボーーーン！！{np},"GYAAAAHH!! MOLE!
I HATE MOLES!!!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F70C,0x0E04FA30,45,,え〜〜〜なんで〜〜{nl}こんなにかわいいのに……{np},"Whaaaaat??
But they're so cuuuute!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F73C,0x0E04FA34,38,,ひーーーーーっ！！{nl}モグラはキライ！{np}{nl},GYAAAAAHHH! NOT A MOLE!!{np}{nl},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F764,0x0E04FA38,24,,キライだボーーーン！！{np},NOO MOOREE MOOOLEEES!!!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F77C,0x0E04FA3C,35,,やった！{nl}モグラさん、ありがとう！{np},"Yes! Thanks, Mr. Mole!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F82C,0x0E04FB64,33,,やったーーーーっ！{nl}エライ！{baku}！{np},"Yeaaaaah!!!
You did it, {doggie}!!!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F7A0,0x0E04FB4C,48,,ボボンボ〜ン！{nl}こっから先は、{nl}通さんボ〜〜ン！{np},"Boom-BOOM! There's no way
you're gettin' past here!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E04F7D0,0x0E04FB5C,48,,どうしよう？{nl}どこか他に{nl}通れる道はないかしら？{np},"Aggghhh, what now?!
There has to be some other
way around...{np}",,,"Extra mole dialogue, how triggered?",,,,,,,,,,,,,,,,,,,,,,
0x0E04F800,0x0E04FB60,42,,どこか他にも{nl}モグラさんは{nl}いないかしら？{np},"Maybe there's another mole
around here, somewhere...?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x0E0234F0,0x0E02362C,20,1613,ごめんね、{momo}一号。{nl},"{momomo}-01! I'm sorry
for leaving you...{np}",,,CH4.postgame,,,,,,,,,,,,,,,,,,,,,,
0x0E023504,0x0E023634,24,1614,置き忘れちゃって………{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E02351C,0x0E023640,14,1615,いいんだよ。{nl},"It's okay, {momomo}.
Thank you for saving me!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E02352C,0x0E023644,12,1616,{momo}ちゃん。{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E023538,0x0E023648,26,1617,助けてくれてありがとう！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E814,0x0E01EE9C,26,1618,ちくしょう！ちくしょう！{np},Dangit! Dangit!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E830,0x0E01EEB4,28,1619,こいつら、ワン公の力を借り{nl},"No fair, using the mutt's
powers! Cheating coward!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E84C,0x0E01EEB8,26,1620,てズルイぜ、ヒキョウだ！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E868,0x0E01EED0,18,1621,{baku}はあたしたちの{nl},"{doggie}'s one of us!
There's nothing unfair about
it...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E87C,0x0E01EED4,28,1622,なかまなんだから、ズルイっ{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E898,0x0E01EED8,24,1623,てことないじゃないッ。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E8B0,0x0E01EEE0,28,1624,あたしの友達なんだからね！{np},"Because he's... 
our...
friend!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E8CC,0x0E01EEEC,28,1625,ワン公が友達だなんてヘンだ{nl},"Hah! Friends with a dog!!
That's so lame... back me up
here, bro!{np}",,,"Hah! Friends with a dog!
Pretty lame, right bro?{np}",,,,,,,,,,,,,,,,,,,,,,
0x0E01E8E8,0x0E01EEF0,24,1626,ボ〜ン！　なあ、兄弟。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E900,0x0E01F0B8,10,1627,おうよ。{nl},"Yo!
That mutt? Don't make me
laugh!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E90C,0x0E01F0BC,20,1628,ワン公はしもべだ、{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E920,0x0E01F0C4,20,1629,いやしい、あわれな{nl},"All I see's a mangy,
stinking, toilet
water-drinking stray.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E934,0x0E01F0C8,18,1630,犬ッコロだボン！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E948,0x0E01F0D8,16,1631,ひ、ひどい……{np},That's- that's awful...{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E958,0x0E01F0DC,14,1632,あんたたち！{nl},"You two!
That's not nice!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E968,0x0E01F0E0,22,1633,なんてこと言うのよ！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E980,0x0E01F0E8,28,1634,こいつ、ホントのこと言われ{nl},"Oooh, she got mad,
couldn't handle the truth!
Haaaa-ha!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E99C,0x0E01F0EC,22,1635,ておこってるボ〜ン。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E9B4,0x0E01F104,14,1636,ちがうもん！{nl},"That's enough!
{doggie} is a VERY...
VERY... GOOD... FRIEND!!!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E9C4,0x0E01F108,22,1637,{baku}はあたしの大ッ事な{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E9DC,0x0E01F10C,22,1638,大ッ事な友達だもの！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01E9F4,0x0E01F360,14,1639,くっそォ〜、{nl},"Damn you,
we'll remember
thiiiiiiiiiiis.....!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EA04,0x0E01F364,28,1640,おぼえてろボォォォォン……{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EA20,0x0E01F550,8,1641,{baku}は、{nl},"{doggie}, you ARE a very,
very good friend.{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EA28,0x0E01F554,22,1642,大事な友達だもの……{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EA40,0x0E01F574,12,1643,{momo}ちゃん！{nl},"{momomo}! Who's your best
friend, anyway?! Is it Judy,
or is it {doggie}??{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EA4C,0x0E01F578,22,1644,ジュディと{baku}とどっち{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EA64,0x0E01F57C,18,1645,が大事な友達！？{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EA78,0x0E01F584,16,1646,えっ？　えッ？{np},Wh- what?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EA88,0x0E01F588,24,1647,どっちが大切な友達！？{np},"Everyone knows you can't
have TWO best friends!
So which is it!!!?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EAA0,0x0E01F58C,22,1648,ダレが大切かなんて、{nl},"Who's best? I can't-
you can't just compare
people like that!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EAB8,0x0E01F590,20,1649,くらべらんないよ。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EACC,0x0E01F594,28,1650,ヤダヤダ！！ジュディの方が{nl},"No way! No way!{np} Judy has
been with you SOOO MUCH
longer than {doggie}!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EAE8,0x0E01F598,22,1651,{baku}なんかより、ずーっ{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EB00,0x0E01F59C,26,1652,と長い付き合いなのにッ！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EB1C,0x0E01F5A0,18,1653,ジュディったら…{np},"C'mon, Judy...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EB30,0x0E01F5A4,26,1654,ジュディ、やきもちだモン{np},"You're being really
jelly, Judy!{np}",,,"You're being jealous, Judy",,,,,,,,,,,,,,,,,,,,,,
0x0E01EB4C,0x0E01F5A8,9,1655,フンだ！,HRMPH!,,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EB58,0x0E01F6BC,20,1656,それより{momo}ちゃん、{nl},"More importantly, {momomo},
without Mr. Clock, how are
you going to get back home?{np}",,,"More importantly, how are
you going to get back home
without Mr. Clock...?{np}",,,,,,,,,,,,,,,,,,,,,,
0x0E01EB6C,0x0E01F6C0,26,1657,クロックさんがいないと、{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EB88,0x0E01F6C4,28,1658,おうちに帰れないモン………{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EBA4,0x0E01F6CC,22,1659,…………どうしよう？{np},"...What are we
supposed to do?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EBBC,0x0E01F6D0,18,1660,うん………でも、{nl},"Shoot... you're right...
But, Grandpa is in this
world somewhere, right?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EBD0,0x0E01F6D4,28,1661,この世界にはおじいちゃんが{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EBEC,0x0E01F6D8,16,1662,いるんでしょ？{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EBFC,0x0E01F6DC,28,1663,おじいちゃんは、機械いじり{nl},"Grandpa's hobby was
tinkering with mechanical
things!{np}",,,"Grandpa's hobby was
tinkering with machines",,,,,,,,,,,,,,,,,,,,,,
0x0E01EC18,0x0E01F6E0,20,1664,がしゅみだったの。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01EC2C,0x0E01F6E4,24,1665,きっと、クロックさんも{nl},"He'd be able to fix
Mr. Clock for us,
I'm sure of it!{np}",,,"I'm sure he'd be able to
fix Mr. Clock!{np}",,,,,,,,,,,,,,,,,,,,,,
0x0E01EC44,0x0E01F6E8,26,1666,直してくれると思うんだ！{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F6EC,0x0E01FE24,12,1667,なあに、{baku}{np},"What is it, {doggie}?{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F6F8,0x0E01FE34,28,1668,もう、バクダンはないんだか{nl},"We cleared the Bombombs,
you don't need to keep
sniffing!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F714,0x0E01FE38,26,1669,ら、においはかがなくても{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F730,0x0E01FE3C,14,1670,いいんだよ。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F748,0x0E01FE68,24,1671,{baku}はここに何かあるって{nl},"I think he's saying there's
something buried here,
{momomo}!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F760,0x0E01FE6C,26,1672,言ってるんじゃないかな？{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F77C,0x0E01FE78,22,1673,キャア！バクダン！？{np},Aaaaack! Another bomb!?!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F794,0x0E020034,10,1674,ええっ！{np},Eyaaah!{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F7A0,0x0E02007C,12,1675,なあんだ、{nl},...Huh? A... backpack?{np},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F7AC,0x0E020080,20,1676,リュックじゃない。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F7C0,0x0E020088,26,1677,あ…このリュックは………{np},"Wait, I think this is...{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F7DC,0x0E020090,22,1678,そうだよ。{momo}ちゃんが{nl},"That's right, {momomo}! It's
your backpack, from back in
elementary school. WAK!!{np}",,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F7F4,0x0E020094,28,1679,ようちえんのころに使ってた{nl},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
0x0E01F810,0x0E020098,18,1680,リュックだグア。{np},{empty},,,,,,,,,,,,,,,,,,,,,,,,,
